concept_id,node_type,preferred_name,source,category,synonyms
SCTID:368421000119108,Disease,Chronic kidney disease stage 1 due to drug induced diabetes mellitus,SNOMEDCT,Complication,Chronic kidney disease stage 1 due to drug induced diabetes mellitus
SCTID:368431000119106,Disease,Chronic kidney disease stage 2 due to drug induced diabetes mellitus,SNOMEDCT,Complication,Chronic kidney disease stage 2 due to drug induced diabetes mellitus
SCTID:368441000119102,Disease,Chronic kidney disease stage 3 due to drug induced diabetes mellitus,SNOMEDCT,Complication,Chronic kidney disease stage 3 due to drug induced diabetes mellitus
SCTID:368451000119100,Disease,Chronic kidney disease stage 4 due to drug induced diabetes mellitus,SNOMEDCT,Complication,Chronic kidney disease stage 4 due to drug induced diabetes mellitus
SCTID:368461000119103,Disease,Chronic kidney disease stage 5 due to drug induced diabetes mellitus,SNOMEDCT,Complication,Chronic kidney disease stage 5 due to drug induced diabetes mellitus
SCTID:368521000119107,Disease,Disorder of nerve due to type 1 diabetes mellitus,SNOMEDCT,Complication,Disorder of nerve due to type 1 diabetes mellitus | Neuropathy due to type 1 diabetes mellitus
SCTID:368541000119101,Disease,Cheiroarthropathy due to diabetes mellitus type 1,SNOMEDCT,Complication,Cheiroarthropathy due to diabetes mellitus type 1 | Cheiropathy due to type 1 diabetes mellitus
SCTID:368551000119104,Disease,Dyslipidemia due to type 1 diabetes mellitus,SNOMEDCT,Complication,Dyslipidemia due to type 1 diabetes mellitus
SCTID:368561000119102,Disease,Hyperosmolarity due to type 1 diabetes mellitus,SNOMEDCT,Complication,Hyperosmolarity due to type 1 diabetes mellitus
SCTID:368581000119106,Disease,Neuropathy due to type 2 diabetes mellitus,SNOMEDCT,Complication,Neuropathy due to type 2 diabetes mellitus
SCTID:368591000119109,Disease,Cheiroarthropathy due to diabetes mellitus type 2,SNOMEDCT,Complication,Cheiroarthropathy due to diabetes mellitus type 2 | Cheiroarthropathy due to type 2 diabetes mellitus | Cheiropathy due to type 2 diabetes mellitus | Diabetic hand syndrome due to type 2 diabetes mellitus
SCTID:368601000119102,Disease,Hyperosmolar coma due to secondary diabetes mellitus,SNOMEDCT,Complication,Hyperosmolar coma due to secondary diabetes mellitus
SCTID:368711000119106,Disease,Mild nonproliferative retinopathy due to secondary diabetes mellitus,SNOMEDCT,Complication,Mild nonproliferative retinopathy due to secondary diabetes mellitus
SCTID:368721000119104,Disease,Non-proliferative retinopathy due to secondary diabetes mellitus,SNOMEDCT,Complication,Non-proliferative retinopathy due to secondary diabetes mellitus
SCTID:368741000119105,Disease,Moderate non-proliferative retinopathy due to secondary diabetes mellitus,SNOMEDCT,Complication,Moderate non-proliferative retinopathy due to secondary diabetes mellitus | Moderate nonproliferative retinopathy due to secondary diabetes mellitus
SCTID:371087003,Disease,Ulcer of foot due to diabetes mellitus,SNOMEDCT,Complication,Diabetic foot ulcer | Ulcer of foot due to diabetes mellitus
SCTID:38046004,Disease,Diffuse glomerulosclerosis of kidney due to diabetes mellitus,SNOMEDCT,Complication,Diffuse glomerulosclerosis of kidney due to diabetes mellitus | Diffuse type diabetic glomerulosclerosis
SCTID:38205001,Disease,Diarrhea due to diabetes mellitus,SNOMEDCT,Complication,Diarrhea due to diabetes mellitus | Diarrhea in diabetes | Diarrhea with diabetes mellitus | Diarrhoea due to diabetes mellitus | Diarrhoea in diabetes | Diarrhoea with diabetes mellitus
SCTID:39058009,Disease,Lumbosacral radiculoplexus neuropathy due to diabetes mellitus,SNOMEDCT,Complication,DLRPN - diabetic lumbosacral radiculoplexus neuropathy | Diabetic amyotrophy | Diabetic lumbosacral plexopathy | Diabetic lumbosacral radiculoplexus neuropathy | Lumbosacral radiculoplexus neuropathy due to diabetes mellitus | Lumbosacral radiculoplexus neuropathy with diabetes mellitus
SCTID:390834004,Disease,Nonproliferative retinopathy due to diabetes mellitus,SNOMEDCT,Complication,BDR - Background diabetic retinopathy | Background diabetic retinopathy | NPDR - Non proliferative diabetic retinopathy | Non proliferative diabetic retinopathy | Nonproliferative diabetic retinopathy | Nonproliferative retinopathy due to diabetes mellitus
SCTID:39127005,Disease,Symmetric proximal motor neuropathy due to diabetes mellitus,SNOMEDCT,Complication,Symmetric diabetic proximal motor neuropathy | Symmetric proximal motor neuropathy due to diabetes mellitus | Symmetric proximal motor neuropathy with diabetes mellitus
SCTID:39181008,Disease,Radiculoplexus neuropathy due to diabetes mellitus,SNOMEDCT,Complication,DRPN - diabetic radiculoplexus neuropathy | Diabetic radiculopathy | Radiculoplexus neuropathy due to diabetes mellitus | Radiculoplexus neuropathy with diabetes mellitus
SCTID:395204000,Disease,Hyperosmolar non-ketotic state due to type 2 diabetes mellitus,SNOMEDCT,Complication,Hyperosmolar non-ketotic state due to type 2 diabetes mellitus | Hyperosmolar non-ketotic state in type 2 diabetes mellitus
SCTID:398140007,Disease,Post hypoglycemic hyperglycemia due to diabetes mellitus,SNOMEDCT,Complication,Post hypoglycaemic hyperglycaemia due to diabetes mellitus | Post hypoglycemic hyperglycemia due to diabetes mellitus | Somogyi phenomenon
SCTID:399862001,Disease,High risk proliferative retinopathy without macular edema due to diabetes mellitus,SNOMEDCT,Complication,High risk proliferative retinopathy without macular edema due to diabetes mellitus | High risk proliferative retinopathy without macular oedema due to diabetes mellitus | PDR - high risk with no macular edema | PDR - high risk with no macular oedema | Proliferative diabetic retinopathy - high risk with no macular edema | Proliferative diabetic retinopathy - high risk with no macular oedema
SCTID:399863006,Disease,Very severe nonproliferative retinopathy without macular edema due to diabetes mellitus,SNOMEDCT,Complication,Very severe NPDR (nonproliferative diabetic retinopathy) with no macular edema | Very severe NPDR (nonproliferative diabetic retinopathy) with no macular oedema | Very severe nonproliferative diabetic retinopathy with no macular edema | Very severe nonproliferative diabetic retinopathy with no macular oedema | Very severe nonproliferative retinopathy without macular edema due to diabetes mellitus | Very severe nonproliferative retinopathy without macular oedema due to diabetes mellitus
SCTID:399864000,Disease,Macular edema not clinically significant due to diabetes mellitus,SNOMEDCT,Complication,Diabetic macular edema not clinically significant | Diabetic macular oedema not clinically significant | Macular edema not clinically significant due to diabetes mellitus | Macular edema not clinically significant with diabetes mellitus | Macular oedema not clinically significant due to diabetes mellitus | Macular oedema not clinically significant with diabetes mellitus
SCTID:399865004,Disease,Very severe proliferative retinopathy due to diabetes mellitus,SNOMEDCT,Complication,Very severe proliferative diabetic retinopathy | Very severe proliferative retinopathy due to diabetes mellitus
SCTID:399866003,Disease,Venous beading of retina due to diabetes mellitus,SNOMEDCT,Complication,Diabetic retinal venous beading | Retinal venous beading with diabetes mellitus | Venous beading of retina due to diabetes mellitus
SCTID:399868002,Disease,Intraretinal microvascular anomaly due to diabetes mellitus,SNOMEDCT,Complication,Diabetic intraretinal microvascular anomaly | Intraretinal microvascular anomaly due to diabetes mellitus
SCTID:399869005,Disease,High risk proliferative retinopathy not amenable to photocoagulation due to diabetes mellitus,SNOMEDCT,Complication,High risk PDR not amenable to photocoagulation | High risk proliferative diabetic retinopathy not amenable to photocoagulation | High risk proliferative retinopathy not amenable to photocoagulation due to diabetes mellitus
SCTID:399870006,Disease,Non-high-risk proliferative retinopathy with no macular edema due to diabetes mellitus,SNOMEDCT,Complication,Non-high-risk PDR with no macular edema | Non-high-risk PDR with no macular oedema | Non-high-risk proliferative diabetic retinopathy with no macular edema | Non-high-risk proliferative diabetic retinopathy with no macular oedema | Non-high-risk proliferative retinopathy with no macular edema due to diabetes mellitus | Non-high-risk proliferative retinopathy with no macular oedema due to diabetes mellitus
SCTID:399871005,Disease,Visually threatening retinopathy due to diabetes mellitus,SNOMEDCT,Complication,Sight threatening diabetic retinopathy | Visually threatening diabetic retinopathy | Visually threatening retinopathy due to diabetes mellitus
SCTID:399872003,Disease,Severe nonproliferative retinopathy with clinically significant macular edema due to diabetes mellitus,SNOMEDCT,Complication,Severe NPDR (nonproliferative diabetic retinopathy) with CSME (clinically significant macular edema) | Severe NPDR (nonproliferative diabetic retinopathy) with CSME (clinically significant macular oedema) | Severe nonproliferative diabetic retinopathy with clinically significant macular edema | Severe nonproliferative diabetic retinopathy with clinically significant macular oedema | Severe nonproliferative retinopathy with clinically significant macular edema due to diabetes mellitus | Severe nonproliferative retinopathy with clinically significant macular oedema due to diabetes mellitus
SCTID:399873008,Disease,Severe nonproliferative retinopathy without macular edema due to diabetes mellitus,SNOMEDCT,Complication,Severe NPDR (nonproliferative diabetic retinopathy) with no macular edema | Severe NPDR (nonproliferative diabetic retinopathy) with no macular oedema | Severe nonproliferative diabetic retinopathy with no macular edema | Severe nonproliferative diabetic retinopathy with no macular oedema | Severe nonproliferative retinopathy without macular edema due to diabetes mellitus | Severe nonproliferative retinopathy without macular oedema due to diabetes mellitus
SCTID:399874002,Disease,High risk proliferative retinopathy with clinically significant macula edema due to diabetes mellitus,SNOMEDCT,Complication,High risk proliferative retinopathy with clinically significant macula edema due to diabetes mellitus | High risk proliferative retinopathy with clinically significant macula oedema due to diabetes mellitus | PDR (proliferative diabetic retinopathy) - high risk with CSME (clinically significant macular edema) | PDR (proliferative diabetic retinopathy) - high risk with CSME (clinically significant macular oedema) | Proliferative diabetic retinopathy - high risk with clinically significant macular edema | Proliferative diabetic retinopathy - high risk with clinically significant macular oedema
SCTID:399875001,Disease,Non-high-risk proliferative retinopathy with clinically significant macular edema due to diabetes mellitus,SNOMEDCT,Complication,Non-high-risk PDR (proliferative diabetic retinopathy) with CSME (clinically significant macular edema) | Non-high-risk PDR (proliferative diabetic retinopathy) with CSME (clinically significant macular oedema) | Non-high-risk proliferative diabetic retinopathy with clinically significant macular edema | Non-high-risk proliferative diabetic retinopathy with clinically significant macular oedema | Non-high-risk proliferative retinopathy with clinically significant macular edema due to diabetes mellitus | Non-high-risk proliferative retinopathy with clinically significant macular oedema due to diabetes mellitus
SCTID:399876000,Disease,Very severe nonproliferative retinopathy due to diabetes mellitus,SNOMEDCT,Complication,Very severe NPDR (nonproliferative diabetic retinopathy) | Very severe nonproliferative diabetic retinopathy | Very severe nonproliferative retinopathy due to diabetes mellitus
SCTID:399877009,Disease,Very severe nonproliferative retinopathy with clinically significant macular edema due to diabetes mellitus,SNOMEDCT,Complication,Very severe NPDR (nonproliferative diabetic retinopathy) with CSME (clinically significant macular edema) | Very severe NPDR (nonproliferative diabetic retinopathy) with CSME (clinically significant macular oedema) | Very severe nonproliferative diabetic retinopathy with clinically significant macular edema | Very severe nonproliferative diabetic retinopathy with clinically significant macular oedema | Very severe nonproliferative retinopathy with clinically significant macular edema due to diabetes mellitus | Very severe nonproliferative retinopathy with clinically significant macular oedema due to diabetes mellitus
SCTID:402864004,Disease,Wet gangrene of foot due to diabetes mellitus,SNOMEDCT,Complication,Diabetic wet gangrene of the foot | Wet gangrene of foot due to diabetes mellitus
SCTID:405749004,Disease,Newly diagnosed diabetes,SNOMEDCT,Complication,Newly diagnosed diabetes
SCTID:40791000119105,Disease,Postpartum gestational diabetes mellitus,SNOMEDCT,Complication,"Gestational diabetes, delivered | Postpartum gestational diabetes mellitus"
SCTID:40801000119106,Disease,Gestational diabetes mellitus complicating pregnancy,SNOMEDCT,Complication,Gestational diabetes mellitus complicating pregnancy
SCTID:408540003,Disease,Diabetes mellitus caused by non-steroid drugs,SNOMEDCT,Complication,DM caused by non-steroid drug | DM induced by non-steroid drug | Diabetes mellitus caused by non-steroid drugs | Diabetes mellitus induced by non-steroid drugs
SCTID:419100001,Disease,Infection of foot due to diabetes mellitus,SNOMEDCT,Complication,Infection of foot due to diabetes mellitus
SCTID:41911000119107,Disease,Glaucoma due to type 2 diabetes mellitus,SNOMEDCT,Complication,Glaucoma due to type 2 diabetes mellitus
SCTID:420270002,Disease,Ketoacidosis due to type 1 diabetes mellitus,SNOMEDCT,Complication,Diabetes type 1 with ketoacidosis | Ketoacidosis due to type 1 diabetes mellitus | Ketoacidosis in type 1 diabetes mellitus | Ketoacidosis in type I diabetes mellitus
SCTID:420279001,Disease,Renal disorder due to type 2 diabetes mellitus,SNOMEDCT,Complication,Kidney disorder due to type 2 diabetes mellitus | Renal disorder due to type 2 diabetes mellitus
SCTID:420422005,Disease,Ketoacidosis due to diabetes mellitus,SNOMEDCT,Complication,DKA - diabetic ketoacidosis | Diabetes mellitus with ketoacidosis | Diabetic acidosis | Diabetic ketoacidosis | Ketoacidosis due to diabetes mellitus | Ketoacidosis in diabetes mellitus
SCTID:420436000,Disease,Mononeuropathy due to type 2 diabetes mellitus,SNOMEDCT,Complication,Mononeuropathy due to type 2 diabetes mellitus | Mononeuropathy with type 2 diabetes mellitus
SCTID:420486006,Disease,Exudative maculopathy due to type 1 diabetes mellitus,SNOMEDCT,Complication,Exudative maculopathy due to type 1 diabetes mellitus
